count,sentence
5,Total number of days from empty containers released to shipper till date of delivery at customs bonded warehouse and the bags remained stuffed / packed inside the container totals to approx. [N] days.
5,EIR report dated [DATE] was found clean with no adverse remarks.
5,Reason for delay in taking delivery from the discharge port terminal and/or ULA CFS not furnished by the consignees.
5,"Shortage of [N] bags, probably occurred due to pre-shipment reason and not due to fortuity in transit."
5,"During survey, we ascertained [N]% to [N]% of cargo in apparently sound condition and [N]% to [N]% of cargo was found with mixture of split/holes/foreign particles inside the bags."
5,"Since, no major damages to the cargo were noted during survey, the consignees advised us that they would discuss the matter with the shipper and requested us to wait for some time."
5,SALVAGE VALUE / DESTRUCTION COSTS. RESERVE
5,Correspondence with ONE LINE Notice of Loss (email)
5,Discharged Port EIR for Container No. [CONTAINER NO.].
5,Sub: Issuance of Temporary Docks Permit
5,"Dear Sir, kindly issue Temporary dock Entry permit for a period of & [N] Days starting from"
5,To for the person who’s’ details are given below:-
5,Place of Work : Indira Dock & BPX.
5,Cargo inside warehouse found partially covered with tarpaulin sheet.
5,Water was found collected on the tarpaulin sheet on the cargo and in contact with warehouse floor.
5,Based on the presented documents and received information the following course of events was established.
5,The inspection was carried out jointly with the following representatives:
5,Photographs taken during Lashing & Securing on board:
5,"This Certificate of Survey is issued, without prejudice, and subject to the terms and conditions of the relative Policy of Insurance."
5,"As per final stowage plan, cargo was stowed as under:"
5,"During opening of the cargo holds, it was observed that the top tier was covered with thick kraft paper sheets and the entire cargo was lashed using nylon ropes at different levels of the stack."
5,The following lifting gears were used during discharge of cargo from vessel holds:
5,"Upon completion of the inspection by all parties, the ships and shore equipment found to be in apparent good order. Discharging of cargo was carried out as per customary practice and same was found to be satisfactory."
5,The hatch opening & gear preparation on [DATE] @ [N]:[N] hours.
5,Surveyors were posted at the Jetty and on board the vessel to carry out inspection and record tally of the Wood Pulp in units/bales. The date wise unloading summary details are as follows:
5,[N]. Ganpati Warehouse - Approx. Storage capacity: [N] MT
5,"During inspection of the above warehouses, we noted the following:"
5,Distance between the quay line and the storage warehouses was approx. [N] kms.
5,"Upon arrival of the trailers at the warehouse, the bales were lifted using counter balance forklift (AF [N] D type) with side shift and clamp. The bales were safely offloaded and stacked into the warehouse in [N] tiers height. As a precautionary measure, the formed stacks were covered with tarpaulins."
5,"The handling during discharging, transporting to warehouse and unloading at the warehouse were found to be adequate and as per customary practice."
5,Cargo Gear Register and other documents were in order. Cranes were certified for [N] MT S.W.L.
5,The cargo discharged from the vessel would be placed onto tarpaulin sheets to avoid direct contact with the warehouse floors dust. Approx [N] feet void would be maintained between the cargo stacks and the warehouses walls.
5,Rainfall Period – [N]:[N] hours to [N] hours on [DATE].
5,** Not applicable pallets were dismantled prior to our visit.
5,The container was found reclosed without any seal.
5,The following persons were present during joint survey.
5,The [N] nos. wire lashings are as follows:
5,Our survey was held on [DATE] at the premises of consignees nominated cold storage a Navi Mumbai in our and in the presence of the following persons:
5,The sound market value at the time of arrival of the cargo was as follows:
5,The sound market value at the time of arrival of the cargo (landing date on [N] July2021) is still awaited from the consignees.
5,Cargo to be consider as Class II due to over ripening of plums.
5,Enclosed please find survey photographs of the subject [N] containers.
5,We shall keep you updated of the developments.
5,Container’s LHS entire panel (door end to front end) with lower half section ([N]’ height) found horizontally cut/rusted/ruptured condition.
5,Shelf Life: [N] Months from the date of packing.
4,[DATE]: Container Laden Onboard – “MSC FLORIANA” Voy. No. WI240R.
4,[N] to [DATE]: Conbtainers Transshipped at Lome - “MSC CHARLESTON” Voy. No. IV245A.
4,"[DATE]: Containers discharged from vessel at Nhava Sheva Port, India."
4,Outer stretch wrappers of entire [N] pallets as far as it could be seen were found in apparently sound & intact condition.
4,The following marks & numbers noted from the label attached to the pallet:
4,"Upon touching the brown portion of the bales, the texture was observed of rubber / spongy and plain surface. However upon touching the white portion / spots of bales, the texture was found spongy with rough surface."
4,FOR DISPORT = ANTWERPEN - Total [N] Mate’s Receipts
4,WITHOUT PREJUDICE JOINT SURVEY REPORT
4,The following personnel were present during the survey:
4,A copy of the weight slip is attached as Annexure C.
4,"To further investigate the cause of damage, the consignees are advised to submit the following:"
4,"Heavy ingress of water in the cargo was noted, through the damaged portion of the side wall panels and broken shutter of warehouse gate and cargo stacked near the wall side and in front of gate, was found heavy water damage & fungus affected in varying degrees."
4,"Vent cover, roof, wall panels, shutter sand roof covers found in broken condition and rain water said to have ingressed from the broken roof panels. The maximum water affected quantity of cargo was seen near the entire warehouse walls and on the warehouse floor."
4,Load port container stuffing photographs.
4,The following persons were present during the joint survey:
4,"From the rainfall records sourced from the internet, we noted the following:"
4,"As the confirmation, during the course of the case, we received photos of above state (photo no. [N] – [N])."
4,Photographs taken during video survey:
4,"After discharge from the vessel and upon loading the bundles onto the trucks, the cargo was fastened with [N] nos. polyester nylon belts (@[N] MT)."
4,[N] bales’ outer cover found slightly covered with coal dust.
4,"The transportation of the cargo from the jetty to the warehouse, which was located approximately [N] kms from the wharf, was done by trailers. The drivers were advised to travel in a safe slow speed to avoid cargo damages. The cargo units were covered and secured using polyester nylon belts on the individual trailers, before dispatch from the jetty."
4,[N]. Sangrah Warehouse - Approx. Storage Capacity : [N] MT
4,Both warehouses were located close to each other.
4,Both the warehouses had paved flooring which were found in dry condition. No trace of water was noted. Dust particles were observed on the floors.
4,The top layer of the cargo was found covered / spread with thick brown kraft paper sheets. The cover of the bales was found cut and/or torn in various sizes and shapes at scattered locations.
4,The vessel was found fitted with four numbers (Make: Mitsubishi) of Electro Hydraulically operated deck cranes. The location of cranes was as follows:
4,The remaining [N] bales were discharged in apparently sound condition.
4,<newly shown damaged pitch bearings>
4,"In view of the above, the probable causes of damage are as follows:"
4,[N]% of cargo was found in soft and rotten condition.
4,Container was discharged from the vessel on [DATE] and cargo was delivered at consignees’ cold storage on [DATE]. Delay in taking delivery - [N] days.
4,No delay in transit was reported / recorded.
4,"Shipping documents (Policy, Commercial Invoice, Packing List, Bill of Lading, Bill of Entry, etc)."
4,Reason for delay in taking delivery from CFS ([N] days): Information not furnished by the consignees.
4,"The goods were packed on [DATE], [N] days prior to stuffing into the container. Hence, the cargo remained in a packed condition about to [N] days."
4,A copy of the spot survey report is attached to this report as Annexure B.
4,Container was found in similar condition as it was during survey at the CFS.
4,"The safety seal was broken and on opening the doors of the containers, the bags were found in similar condition as it was found during our survey at the CFS."
4,"Entire bags from the container was destuffed in our prsence and upon counting we found total [N] bags. During destuffing we found several bags stuffed near container side wall panels, door end and upper tier were in wet / water affected condition."
4,"Upon checking the [N] bags, we found [N] bags in wet / moist condition inside the container at different locations."
4,"[N] bags out of the [N] bags were randomly selected and opened for detailed survey. Upon checking, the inner Cocoa Beans were found in damp / moist / discoloured and fungus affected condition in varying degrees."
4,The remaining [N] bags were found in an apparently sound & dry condition.
4,The roof & floorboard cardboard sheets dunnage were found in wet/damp condition at places in varying degrees.
4,On spot silver nitrate test was conducted on container floorboard and water on cardboard sheet and the salinity result was found “Negative”.
4,Moisture test of the container floorboard was conducted using moisture meter and the moisture was found in the range of [N]% & [N]%.
4,"Light test of the container was carried out by closing the doors, when no penetration / leakage of light was noted."
4,Desiccant bags were found in fully saturated condition.
4,"After completion of survey, the water affected [N] bags were weighed on an electronic platform scale. The weight details noted are as follows:"
4,Scaled gross wt. of [N] sound & dry bags : [N] kg
4,Photographs taken during weighing of sound bags:
4,"Survey held at Jetty No. [N], Indira Dock, Mumbai Port, India on [DATE]:"
4,The package was lifted using [N] nos. ships crane (each ship crane capacity = [N] MT).
4,Survey date at Hazira Port on [DATE]:
4,Total [N] nos. of D-shackles were affixed with the spreader. @[N] MT each.
4,The above package was successfully loaded onto vessel hold no. [N] (lower hold at middle) with foot print area protected with wooden planks underneath the [N] nos. steel cradles.
4,"A total of [N] nos. of metal wire grommet lashing was connected with [N] nos. of turnbuckles, [N] nos. of D-shackles, and [N] nos. of welded D-rings."
4,The package was found placed on [N] nos. metal cradles placed on the metal stools on the barge.
4,Each cradle was fastened with [N] nos. of wire rope lashings connected with [N] nos. of D-Shackles and [N] nos. of turn buckles. The wire ends were affixed with wire clips.
4,Each cradle was found welded together with [N] stoppers. A total of [N] welded stoppers were used.
4,The package was found secured with [N] nos. of chain lashing ([N] nos. of chain lashing in the aft direction and [N] nos. of chain lashing in the forward direction).
4,Ships cranes were connected with [N] no’s soft sling belts @ [N] MT each and length [N] meters each.
4,Package shifting commenced @ [N]:[N] hours on [DATE].
4,Loading of package was completed @ [N] hours on [DATE].
4,Stoppers welding and the lashing works commenced @ [N]:[N] hours on [DATE].
4,Stoppers welding and the lashing works completed @ [N]:[N] hours on [DATE].
4,The remaining [N] nos. of wire lashing at cabin side: [N] nos. of wire rope slings applied on the lifting lugs at cabin port side and [N] nos. of wire rope slings applied on the lifting lugs at cabin starboard side.
4,"Total of [N] nos. of metal wire grommet lashing was connected with [N] nos. of turnbuckles, [N] nos. of D-shackles, and [N] nos. of welded D-rings."
4,All plates found with gear handling marks on outer surface at places.
4,All Plates loaded as per details contained in packing list.
4,Consignee's representative attended the joint survey on behalf of the consignee.
4,The container’s door and side wall panels were found in an apparently sound condition except for some normal wear & tear at places. Container’s date of manufacturing [N].
4,"RHS door was found sealed with a safety bottle seal no. OM SAI Impex [N], which was found intact."
4,Container Ventilation found set at [N] CMH.
4,"Upon opening the container in our presence, same to be found stuffed with loose cartons up to the door end."
4,"Container seal was not open due to non-completion of the customs formalities. Hence, the stuff contents could not be inspect."
4,Container’s wooden flooring was found covered with wooden dust and dirt particles.
4,Location of the goods at time of Survey:
4,"Based on the available documents listed below, we can report the following:"
4,"The packing was found correct and customary, as stated by the consignees, the stowing of units withing the container was done correctly."
4,"Shipper: Complete with the exact name of the shipper + address, City, Country"
4,"Consignee: Complete with the exact name of the consignee + address, City, Country"
4,Container/s: Complete with the number or numbers of container/s
4,Invoice value: (Incoterm) Value (example: [AMOUNT])
4,Ocean Carrier: Complete with the name of the carrier
4,Vessel/s: Complete with the name of all carrying vessels during carriage with their voyage numbers
4,Temperature Settings on BL: Complete with the temperature setting stated in the BL and include any other controlled atmosphere instructions
4,Ventilation Settings: Complete with the instructed ventilation settings
4,Security seal: Complete with the number of the seal
4,Origin Port/date: Complete with the exact name of the port of loading + city + country and the real date of departure
4,Arrival Port/date: Complete with the exact name of the port of discharge + city + country and the real date of discharge (you may include the arrival date at the consignee’s premises)
4,ETA: Complete with the date in which cargo should have arrived at final port according to the Booking Confirmation’s ETA
4,"Location of the goods at time of Survey: Complete with the exact address where the goods were located at time of survey: address, City, Country"
4,"(To begin with the narrative section of the report, please include a clear timeline of events until inspection took place)."
4,(Mention when you were contacted to conduct the survey on the goods and the arrangements made for the joint survey. Mentioning the issuance of a Letter of Protest is a must).
4,"(Comment on the events on the date of the inspection: who received you, if the container was on site or not. If cargo was already unloaded from the container or not. Where were the goods located and in which conditions)."
4,THIS ARE JUST INSTRUCTIONS AND THESE PARAGRAPHS MUST BE REMOVED FROM THE REPORT AND REPLACED WITH YOUR COMMENTS
4,The following is the result of the inspection of cartons randomly selected from the XXX pallets available corresponding to Container No. XXX.
4,Based on our inspection findings and damage assessment schedule we list the following:
4,(COMPLETE WITH A SUMMARY OF YOUR FINDINGS)
4,"(Please inform if there has been any delay, temperature deviation, controlled atmosphere deviation, cargo contamination, origin defects or any other. A detailed explanation on causation must be included as to explain how you reached the conclusion that such was the cause of damage)."
4,"Please complete with the extent of damage. That is to say which and how many of the goods were affected and to what extent, mentioning if any salvage action has been taken care by the consignee."
4,"(When you provide us with your report, we need you to attach the enclosures to such email. The enclosures can be sent on a Zip file. The enclosures must be named according to the detail that is provided below – THIS IS JUST AN INSTRUCTION AND THIS PARAGRAPH MUST BE REMOVED FROM THE REPORT)"
4,All these photographs must be included here or shared on a separate zip file.
4,Packing date: June [N] (Noted from the label attached to the cartons)
4,The segregation was highly recommended for this shipment to be sold at market price. We suggested the consignee to mitigate the loss by segregating the cargo or selling “as is” in a secondary market at reduced price.
3,Container’s roof panel and under structure not sighted.
3,Please find below our second preliminary survey findings for the subject case:
3,"Accordingly, as per appointment given, we visited the consignees’ factory situated at Plot No. D-[N]/CH/[N]&[N], Village – Jolva, GIDC Dahej Industrial Estate, Dahej II, Taluka: Vagra, Bharuch, [N], Gujarat, India on [DATE], to independently conduct a survey on the aforesaid consignment."
3,"To further investigate the cause of damage, the consignees are advised to take up the matter with the shipper and submit photographs showing the stowage and securing condition of machines / units inside the container at the loading point."
3,"After completion of survey, the consignees’ representatives attending the survey advised us that the actual condition of damaged units will be known after repairs / replacements of the damaged parts, completion of installation, powering-on and trial run of the machines. The consignees’ representatives requested us to wait for some time."
3,Cargo was found packed to capacity.
3,"While destuffing the container, the boxes stuffed near by the front end portion, were found pressed / uneven inside the container at lower portion and leakage of pulp from boxes / cases were noted on the cardboard sheet placed on the floorboard."
3,The Asstt. Manager Permit Section Mumbai Port Trust
3,Issued without prejudice. Final report to follow.
3,COLD ROLLED GALVANISED STEEL COILS:
3,Total insured value of cargo is [AMOUNT].
3,"However, the precise stage of damage is not known due to lack of documentary evidence."
3,Condition Found during Survey: (Photo No. [N] to [N])
3,"Water and dry water marks found on the warehouse floor, at places."
3,Condition Found during Survey: (Photo No. [N] to [N]).
3,"The warehouse roof panels ventilation covers, gate shutters & side wall panels found broken at places and exposed condition."
3,The following personnel were present during the joint survey:
3,"[N]. Shipping documents (Policy, Invoice, Packing List, Bill of Lading etc)."
3,[N]. Notice of Loss letter and email to third parties
3,Marks & Nos noted from the label. (Photo No. [N])
3,Cargo description as per packing list:
3,"On spot silver nitrate test was carried out on the water affected bags, and the salinity result was found “Negative”."
3,The consignees agreed with the above cause of damage.
3,The following persons attended the video conferencing survey:
3,"Joint Survey held at Jetty No. [N], Indira Dock, Mumbai Port, India on [DATE]:"
3,Unit / package was successfully loaded into On Deck No. [N] at Port side using [N] nos. ships cranes @ [N] tons each.
3,[N] nos. H beams welded at second cradle from aft.
3,"[N] bales’ outer kraft paper packing found in partly cut/torn with inner materials exposed. As far as could be seen, the cargo contents in these bales were in apparent good and sound condition."
3,Total cargo as per stowage plan: [N] bales ex [N] units. Total gross weight [N] MT.
3,Total quantity discharged from vessel holds: [N] bales ex [N] units. Total gross weight [N] MT.
3,"On [DATE], we conducted inspection of the following [N] port warehouses, where the subject cargo was planned to stored:"
3,"A total of [N] bales were found with the outer cover packing in cut/torn to various extents. As far as could be seen, the cargo contents within these bales were visibly in apparently sound condition."
3,A total [N] bales were found with the outer cover packing at top side with shoe / boot marks.
3,A total of [N] bales were found with the outer cover packing slightly covered with coal dust.
3,The vessel Master refused to accept or sign any letter of protest from us for the external discrepancies noted by us during our discharge survey.
3,"Daily Discharge Report - Stevedores (GPPL), APM Terminals."
3,On-board Discharge Report - Surveyors (Mas Marine)
3,"Vessel ""TSL ROSEMARY"" Voy. No. [N] arrived at end of sea passage (EOSP) on [DATE] @ [N]:[N] hours. Due to shipping congestion, the vessel berthing got delayed."
3,Port and Customs formalities completed at [N]:[N] hours on [DATE].
3,"[N] bales’ outer kraft paper packing found in partly cut/torn with inner materials exposed. As far as could be seen, the cargo contents in these bales s were in apparent good and sound condition."
3,The vessel completed discharging of the cargo at [N]:[N] HRS LT on [DATE].
3,The remaining [N] bales were discharged in apparent sound condition.
3,"Out of [N] spreaders with [N] ship's cranes, [N] spreaders were connected with [N] belts with ends eye hooks with each sling capacity [N] MT ([N] tons per spreader lift capacity) and remaining [N] spreaders were connected with [N] belts with each spreader @ each belt capacity [N] MT. (Total [N] tons per spreader lift capacity)."
3,Hatch covers were closed in the event of impending rain. The hatch covers were properly closed and battened down during periods of rain fall.
3,Description of Goods : Not found on the case.
3,Gross / Net Weight : Not found on the case
3,<initially shown damaged pitch bearings>
3,"We hereby Certify that in accordance with the loss intimation received vide email of [DATE] from the W K Webster (International) Pte Ltd, [N] Tampines Central [N] • #[N]-[N] Tampines Plaza [N] • Singapore [N]], we, the undersigned Marine Surveyors, did immediately communicate with parties concerned and undertook a survey on the following:"
3,Container was found in an externally sound condition except for some normal wear & tear.
3,"As per the consignees submitted sale, customs duty, clearance and handling cost involved and the information to hand, the loss has been calculated and is presented without prejudice, as follows:"
3,"At the time of compiling this report, we have not been advised of any additional claimed costs."
3,Container landed at discharge port: [DATE]
3,Consignees’ Warehouse Delivery Date: [DATE]
3,We were provided with the downloads of the temperature recorders installed inside the subject container. Reference of the recorder was made in the transport documents. Examination of the printouts revealed the following:
3,There was a delay of [N] days in arrival of the vessel at discharged port at Nhava Sheva.
3,Photographs taken at the time of survey is embedded within the body of this report.
3,Notice of Loss emails and letter to carriers (Annexure A1 & A2)
3,The hatch coamings do not have compression bars.
3,Wheels on hatch panels were well greased and easily rotated.
3,"The rubber gaskets of hatch covers are pliable and in sound condition, as well as the retaining channels."
3,The ventilation system of the holds found functioning.
3,The joint survey was conducted at the consignees' nominated storage facility.
3,Marks & Nos noted from the label pasted on the boxes: (Photo No. [N] & [N]).
3,"The container was stuffed on around [DATE] and was loaded onto vessel - m/v'WANHAI [N]” Voy. No. W216 on [DATE], meaning that the total door to door trip until delivery at consignees’ cold room on [DATE], totals of [N] days."
3,"The fluctuation in temperature was recorded during the entire sea transit. Temperature found maintained around +[N] °C on a higher side during the entire voyage, instead of the actual set temperature +[N] °C, as per bill of lading."
3,Annexure A1 & A2 (Notice of Loss letter and email to third parties - Shipping Line)
3,Please find below our survey findings for the subject case:
3,"Upon proactively following up with the consignees for the sale results, the consignees submitted the sale details for our perusal. As per the consignees submitted sale, customs duty, clearance and handling cost involved and the information to hand, the loss has been calculated and is presented without prejudice, as follows:"
3,Less: Sale of cargo in discounted rates : [AMOUNT]
3,"Certified correct and issued without prejudice and subject to the terms, conditions and amount of the Policy of Insurance."
3,"From information made available, we recommend that a provisional reserve of [AMOUNT].- maybe be placed against this loss. Actual loss amount will be known once the cargo is sold in discounted rates to the customers."
3,Information gathered from the receiver:
3,The container’s door and side wall panels were found in an apparently sound condition except for some normal wear & tear at places. Container’s date of manufacturing - [N].
3,The remaining [N] pallets destuffed in our presence were found in an apparently sound and intact.
3,"The goods were packed on [DATE], [N] days prior to stuffing the container. Hence, the cargo was in a packed condition [N] days."
3,Based on our survey findings and taking the above into consideration we can conclude as follows:
3,[N]. Notice of Loss letter and email to third parties (Shipping Line)
3,"The goods were packed on [DATE] about [N] days, prior to stuffing the container, whereby at the time of delivery of the cargo on [DATE], the cargo was in a packed condition for about maximum [N] days."
3,"Container’s wall panels, door panels & front panels were found apparently sound condition except for some normal wear and tear."
3,Water dripping marks were noted on container bottom railing.
3,Container’s inner wall panels and roof panels were found in dry condition.
3,Container’s ventilations were found closed using adhesive tapes.
3,Container’s floorboard was found in damp/moist condition.
3,LETTER OF PROTEST & JOINT SURVEY INVITATION
3,"We therefore reserve the rights of cargo interest and cargo underwriters to refer to this matter at some later date and take any actions, or make any claim, as they may deem necessary."
3,Contact details to check the damaged cargo as follows:
3,We look forward to your comments. Thank you.
3,Equipment no. [N]-[N]-D Net weight: [N] kg; gross weight: [N] kg. Dimensions: 61250x7600x7816 (LxWxH - in mm).
3,"Shipper: Arcelormittal Nippon Steel India Ltd, Hazira, Gujarat, India."
3,[N] NOS. EX [N] NOS - GERENAL CONITION OF PRIME HOT DIPPED GALVANISED STEEL COILS:
3,A] Coils stowed at open yard and covered shed prior to loading.
3,B] All Coils enveloped in Galvanized covers. Condition of inner contents not known.
3,C] Outer packing on all coils covered with dust.
3,D] All coils found with minor gear handling marks on outer packing covers.
3,E] [N] Coils [N] or [N] strapping bands loose/broken/missing.
3,F] [N] Coils Inner / Outer Surface packing covers waved/dented/crimpled/torn at places.
3,G] [N] Coils outer winding surface stained by Oil spots in locations.
3,H] [N] Coils Inner / Outer edge protecting ring dented / bent at places.
3,"I] Quality, dimension, weight and value unknown. Said to be, said to weigh."
3,Surface of all Plates superficially rusty.
3,[N]. Loading commenced on [DATE] @ [N]:[N] hours in vessel hold no. [N].
3,"The container was stuffed on or around [DATE], about days, prior to loading onto m/v “MOL BENEFACTOR” Voy. 2113W, meaning that the total door to door trip until delivery on [DATE], totals [N] days."
3,"Meanwhile, in case you require any additional documents / information / clarification, please feel free to email us. We shall keep you updated of further developments."
3,"Due to restriction for entry inside the cold room at the cold storage (New Supreme Cold Storage) premises, we were not allowed to go inside the cold room areas."
